team,season,season_end_year,wins,losses,win_pct,predicted_win_pct,training_seasons,selected_model,win_total_line,actual_wins_odds_source,actual_losses_odds_source,source_result,championship_odds,source_url,scheduled_games_for_line,predicted_wins_82,predicted_wins,predicted_wins_for_line,pick,model_edge_wins,comparison_actual_wins,model_abs_error_wins,market_abs_error_wins,grade,stake,profit,cash_return
Atlanta Hawks,2016-17,2017,43,39,0.5243902,0.5710960100660878,3,extra_trees,43.5,43,39,under,+10000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,46.8298728254192,46.8298728254192,46.8298728254192,over,3.3298728254192014,43.0,3.8298728254192014,0.5,loss,10.0,-10.0,0.0
Boston Celtics,2016-17,2017,53,29,0.64634144,0.5755936947265321,3,extra_trees,52.5,53,29,over,+2900,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,47.198682967575635,47.198682967575635,47.198682967575635,under,-5.301317032424365,53.0,5.801317032424365,0.5,loss,10.0,-10.0,0.0
Brooklyn Nets,2016-17,2017,20,62,0.24390244,0.29453502493355177,3,extra_trees,21.5,20,62,under,+135000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,24.151872044551244,24.151872044551244,24.151872044551244,over,2.6518720445512436,20.0,4.151872044551244,1.5,loss,10.0,-10.0,0.0
Charlotte Hornets,2016-17,2017,36,46,0.4390244,0.4615224492540098,3,extra_trees,42.5,36,46,under,+55000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,37.8448408388288,37.8448408388288,37.8448408388288,under,-4.655159161171198,36.0,1.8448408388288016,6.5,win,10.0,9.090909090909092,19.090909090909093
Chicago Bulls,2016-17,2017,41,41,0.5,0.6001277038672944,3,extra_trees,39.0,41,41,over,+9000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,49.21047171711814,49.21047171711814,49.21047171711814,over,10.21047171711814,41.0,8.21047171711814,2.0,win,10.0,9.090909090909092,19.090909090909093
Cleveland Cavaliers,2016-17,2017,51,31,0.6219512,0.6104363146208546,3,extra_trees,56.5,51,31,under,+385,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,50.05577779891007,50.05577779891007,50.05577779891007,under,-6.444222201089929,51.0,0.9442222010899286,5.5,win,10.0,9.090909090909092,19.090909090909093
Dallas Mavericks,2016-17,2017,33,49,0.40243903,0.42129951796396753,3,extra_trees,39.5,33,49,under,+39000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,34.54656047304534,34.54656047304534,34.54656047304534,under,-4.953439526954661,33.0,1.5465604730453393,6.5,win,10.0,9.090909090909092,19.090909090909093
Denver Nuggets,2016-17,2017,40,42,0.4878049,0.49035435794312604,3,extra_trees,37.0,40,42,over,+50000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,40.209057351336334,40.209057351336334,40.209057351336334,over,3.209057351336334,40.0,0.20905735133633385,3.0,win,10.0,9.090909090909092,19.090909090909093
Detroit Pistons,2016-17,2017,37,45,0.4512195,0.491682151622203,3,extra_trees,44.5,37,45,under,+14000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,40.31793643302065,40.31793643302065,40.31793643302065,under,-4.182063566979352,37.0,3.3179364330206482,7.5,win,10.0,9.090909090909092,19.090909090909093
Golden State Warriors,2016-17,2017,67,15,0.81707317,0.6473272252606723,3,extra_trees,66.5,67,15,over,-128,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,53.08083247137513,53.08083247137513,53.08083247137513,under,-13.419167528624868,67.0,13.919167528624868,0.5,loss,10.0,-10.0,0.0
