team,season,season_end_year,wins,losses,win_pct,predicted_win_pct,training_seasons,selected_model,win_total_line,actual_wins_odds_source,actual_losses_odds_source,source_result,championship_odds,source_url,scheduled_games_for_line,predicted_wins,pick,model_edge_wins,comparison_actual_wins,model_abs_error_wins,market_abs_error_wins,grade,stake,profit,cash_return
Atlanta Hawks,2016-17,2017,43,39,0.5243902,0.5204634059488641,3,extra_trees,43.5,43,39,under,+10000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,42.677999287806855,under,-0.8220007121931445,43.0,0.3220007121931445,0.5,win,10.0,9.090909090909092,19.090909090909093
Boston Celtics,2016-17,2017,53,29,0.64634144,0.4787180604988259,3,extra_trees,52.5,53,29,over,+2900,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,39.254880960903726,under,-13.245119039096274,53.0,13.745119039096274,0.5,loss,10.0,-10.0,0.0
Brooklyn Nets,2016-17,2017,20,62,0.24390244,0.3773702018381333,3,extra_trees,21.5,20,62,under,+135000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,30.94435655072693,over,9.44435655072693,20.0,10.94435655072693,1.5,loss,10.0,-10.0,0.0
Charlotte Hornets,2016-17,2017,36,46,0.4390244,0.47570229447211965,3,extra_trees,42.5,36,46,under,+55000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,39.007588146713815,under,-3.4924118532861854,36.0,3.0075881467138146,6.5,win,10.0,9.090909090909092,19.090909090909093
Chicago Bulls,2016-17,2017,41,41,0.5,0.642519298174511,3,extra_trees,39.0,41,41,over,+9000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,52.686582450309906,over,13.686582450309906,41.0,11.686582450309906,2.0,win,10.0,9.090909090909092,19.090909090909093
Cleveland Cavaliers,2016-17,2017,51,31,0.6219512,0.6802339197535825,3,extra_trees,56.5,51,31,under,+385,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,55.779181419793765,under,-0.7208185802062346,51.0,4.779181419793765,5.5,win,10.0,9.090909090909092,19.090909090909093
Dallas Mavericks,2016-17,2017,33,49,0.40243903,0.3903532241730195,3,extra_trees,39.5,33,49,under,+39000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,32.0089643821876,under,-7.4910356178124005,33.0,0.9910356178124005,6.5,win,10.0,9.090909090909092,19.090909090909093
Denver Nuggets,2016-17,2017,40,42,0.4878049,0.4619339539312934,3,extra_trees,37.0,40,42,over,+50000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,37.87858422236606,over,0.878584222366058,40.0,2.121415777633942,3.0,win,10.0,9.090909090909092,19.090909090909093
Detroit Pistons,2016-17,2017,37,45,0.4512195,0.4764565163343161,3,extra_trees,44.5,37,45,under,+14000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,39.069434339413924,under,-5.430565660586076,37.0,2.069434339413924,7.5,win,10.0,9.090909090909092,19.090909090909093
Golden State Warriors,2016-17,2017,67,15,0.81707317,0.6413889075373524,3,extra_trees,66.5,67,15,over,-128,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,52.5938904180629,under,-13.906109581937102,67.0,14.406109581937102,0.5,loss,10.0,-10.0,0.0
Houston Rockets,2016-17,2017,55,27,0.6707317,0.3714433997245548,3,extra_trees,44.0,55,27,over,+16000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,30.458358777413494,under,-13.541641222586506,55.0,24.541641222586506,11.0,loss,10.0,-10.0,0.0
Indiana Pacers,2016-17,2017,42,40,0.5121951,0.5995371474406671,3,extra_trees,44.5,42,40,under,+8000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,49.1620460901347,over,4.662046090134702,42.0,7.162046090134702,2.5,loss,10.0,-10.0,0.0
Los Angeles Clippers,2016-17,2017,51,31,0.6219512,0.6258333153503393,3,extra_trees,53.5,51,31,under,+3500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,51.31833185872782,under,-2.1816681412721834,51.0,0.31833185872781655,2.5,win,10.0,9.090909090909092,19.090909090909093
Los Angeles Lakers,2016-17,2017,26,56,0.31707317,0.4380893987642484,3,extra_trees,24.5,26,56,over,+39000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,35.923330698668366,over,11.423330698668366,26.0,9.923330698668366,1.5,win,10.0,9.090909090909092,19.090909090909093
Memphis Grizzlies,2016-17,2017,43,39,0.5243902,0.5322633452281631,3,extra_trees,42.5,43,39,over,+8800,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,43.64559430870938,over,1.1455943087093772,43.0,0.6455943087093772,0.5,win,10.0,9.090909090909092,19.090909090909093
Miami Heat,2016-17,2017,41,41,0.5,0.40246917102839513,3,extra_trees,34.5,41,41,over,+17500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,33.0024720243284,under,-1.497527975671602,41.0,7.997527975671602,6.5,loss,10.0,-10.0,0.0
Milwaukee Bucks,2016-17,2017,42,40,0.5121951,0.4939374093351565,3,extra_trees,34.5,42,40,over,+18000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,40.50286756548283,over,6.0028675654828305,42.0,1.4971324345171695,7.5,win,10.0,9.090909090909092,19.090909090909093
Minnesota Timberwolves,2016-17,2017,31,51,0.37804878,0.5871498421411487,3,extra_trees,41.5,31,51,under,+10000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,48.1462870555742,over,6.646287055574199,31.0,17.1462870555742,10.5,loss,10.0,-10.0,0.0
New Orleans Pelicans,2016-17,2017,34,48,0.41463414,0.6211392892097901,3,extra_trees,36.5,34,48,under,+14500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,50.93342171520279,over,14.43342171520279,34.0,16.93342171520279,2.5,loss,10.0,-10.0,0.0
New York Knicks,2016-17,2017,31,51,0.37804878,0.3717478486325302,3,extra_trees,38.5,31,51,under,+7500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,30.483323587867474,under,-8.016676412132526,31.0,0.5166764121325258,7.5,win,10.0,9.090909090909092,19.090909090909093
Oklahoma City Thunder,2016-17,2017,47,35,0.5731707,0.4638242596755026,3,extra_trees,45.0,47,35,over,+6000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,38.033589293391216,under,-6.966410706608784,47.0,8.966410706608784,2.0,loss,10.0,-10.0,0.0
Orlando Magic,2016-17,2017,29,53,0.35365853,0.4523458144460619,3,extra_trees,37.5,29,53,under,+22500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,37.09235678457708,under,-0.40764321542292237,29.0,8.092356784577078,8.5,win,10.0,9.090909090909092,19.090909090909093
Philadelphia 76ers,2016-17,2017,28,54,0.34146342,0.4076169061096253,3,extra_trees,23.5,28,54,over,+50000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,33.424586300989276,over,9.924586300989276,28.0,5.424586300989276,4.5,win,10.0,9.090909090909092,19.090909090909093
Phoenix Suns,2016-17,2017,24,58,0.29268292,0.4590692462265645,3,extra_trees,29.5,24,58,under,+85000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,37.643678190578285,over,8.143678190578285,24.0,13.643678190578285,5.5,loss,10.0,-10.0,0.0
Portland Trail Blazers,2016-17,2017,41,41,0.5,0.49177735032960906,3,extra_trees,45.5,41,41,under,+13000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,40.325742727027944,under,-5.174257272972056,41.0,0.6742572729720564,4.5,win,10.0,9.090909090909092,19.090909090909093
Sacramento Kings,2016-17,2017,32,50,0.3902439,0.4391422346827287,3,extra_trees,33.5,32,50,under,+50000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,36.00966324398375,over,2.509663243983752,32.0,4.009663243983752,1.5,loss,10.0,-10.0,0.0
San Antonio Spurs,2016-17,2017,61,21,0.74390244,0.6408026500670965,3,extra_trees,57.5,61,21,over,+925,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,52.54581730550191,under,-4.954182694498087,61.0,8.454182694498087,3.5,loss,10.0,-10.0,0.0
Toronto Raptors,2016-17,2017,51,31,0.6219512,0.6292592383487506,3,extra_trees,50.5,51,31,over,+5500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,51.59925754459755,over,1.099257544597549,51.0,0.599257544597549,0.5,win,10.0,9.090909090909092,19.090909090909093
Utah Jazz,2016-17,2017,51,31,0.6219512,0.5651014756660482,3,extra_trees,47.5,51,31,over,+10000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,46.33832100461595,under,-1.161678995384051,51.0,4.661678995384051,3.5,loss,10.0,-10.0,0.0
Washington Wizards,2016-17,2017,49,33,0.597561,0.4711407445257,3,extra_trees,42.5,49,33,over,+16000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,38.6335410511074,under,-3.8664589488926,49.0,10.3664589488926,6.5,loss,10.0,-10.0,0.0
Atlanta Hawks,2017-18,2018,24,58,0.29268292,0.33212581344396064,4,random_forest,25.5,24,58,under,+200000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,27.234316702404772,over,1.7343167024047723,24.0,3.2343167024047723,1.5,loss,10.0,-10.0,0.0
Boston Celtics,2017-18,2018,55,27,0.6707317,0.6917682251147925,4,random_forest,53.5,55,27,over,+1200,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,56.72499445941299,over,3.22499445941299,55.0,1.72499445941299,1.5,win,10.0,9.090909090909092,19.090909090909093
Brooklyn Nets,2017-18,2018,28,54,0.34146342,0.3863103036677632,4,random_forest,27.5,28,54,over,+250000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,31.677444900756583,over,4.1774449007565835,28.0,3.6774449007565835,0.5,win,10.0,9.090909090909092,19.090909090909093
Charlotte Hornets,2017-18,2018,36,46,0.4390244,0.5069054103127687,4,random_forest,42.5,36,46,under,+50000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,41.566243645647035,under,-0.9337563543529654,36.0,5.5662436456470346,6.5,win,10.0,9.090909090909092,19.090909090909093
Chicago Bulls,2017-18,2018,27,55,0.3292683,0.3636743992465291,4,random_forest,22.0,27,55,over,+250000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,29.82130073821539,over,7.821300738215388,27.0,2.8213007382153883,5.0,win,10.0,9.090909090909092,19.090909090909093
Cleveland Cavaliers,2017-18,2018,50,32,0.6097561,0.703993285780455,4,random_forest,53.5,50,32,under,+515,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,57.72744943399731,over,4.227449433997307,50.0,7.727449433997307,3.5,loss,10.0,-10.0,0.0
