team,season,season_end_year,wins,losses,win_pct,player_1,rating_1,rating_source_1,position_1,position_source_1,player_2,rating_2,rating_source_2,position_2,position_source_2,player_3,rating_3,rating_source_3,position_3,position_source_3,player_4,rating_4,rating_source_4,position_4,position_source_4,player_5,rating_5,rating_source_5,position_5,position_source_5,player_6,rating_6,rating_source_6,position_6,position_source_6,player_7,rating_7,rating_source_7,position_7,position_source_7,player_8,rating_8,rating_source_8,position_8,position_source_8,player_9,rating_9,rating_source_9,position_9,position_source_9,player_10,rating_10,rating_source_10,position_10,position_source_10,roster_snapshot
Atlanta Hawks,2016-17,2017,43,39,0.5243902,Paul Millsap,86,hoopshype_edition,PF,espn_opening_boxscore,Dwight Howard,84,hoopshype_edition,C,espn_opening_boxscore,Kent Bazemore,78,hoopshype_edition,SF,espn_opening_boxscore,Dennis Schroder,76,hoopshype_edition,G,espn_opening_boxscore,Kyle Korver,76,hoopshype_edition,G,espn_opening_boxscore,Thabo Sefolosha,75,hoopshype_edition,F,espn_opening_boxscore,Kris Humphries,73,hoopshype_edition,PF,espn_opening_boxscore,Mike Muscala,72,hoopshype_edition,C,espn_opening_boxscore,Taurean Prince,71,hoopshype_edition,F,espn_opening_boxscore,Tim Hardaway Jr.,71,hoopshype_edition,G,espn_opening_boxscore,opening_night
Boston Celtics,2016-17,2017,53,29,0.64634144,Al Horford,85,hoopshype_edition,C,espn_opening_boxscore,Isaiah Thomas,85,hoopshype_edition,G,espn_opening_boxscore,Avery Bradley,82,hoopshype_edition,PG,espn_opening_boxscore,Jae Crowder,81,hoopshype_edition,PF,espn_opening_boxscore,Amir Johnson,76,hoopshype_edition,F,espn_opening_boxscore,Jaylen Brown,74,hoopshype_edition,G,espn_opening_boxscore,Tyler Zeller,74,hoopshype_edition,C,espn_opening_boxscore,Gerald Green,73,hoopshype_edition,G,espn_opening_boxscore,Jonas Jerebko,73,hoopshype_edition,F,espn_opening_boxscore,Jordan Mickey,71,hoopshype_edition,F,espn_opening_boxscore,opening_night
Brooklyn Nets,2016-17,2017,20,62,0.24390244,Brook Lopez,81,hoopshype_edition,C,espn_opening_boxscore,Bojan Bogdanovic,76,hoopshype_edition,SF,espn_opening_boxscore,Jeremy Lin,76,hoopshype_edition,G,espn_opening_boxscore,Luis Scola,74,hoopshype_edition,F,espn_opening_boxscore,Trevor Booker,73,hoopshype_edition,F,espn_opening_boxscore,Rondae Hollis-Jefferson,72,hoopshype_edition,SF,espn_opening_boxscore,Greivis Vasquez,71,hoopshype_edition,PG,espn_opening_boxscore,Sean Kilpatrick,71,hoopshype_edition,G,espn_opening_boxscore,Anthony Bennett,70,hoopshype_edition,F,espn_opening_boxscore,Chris McCullough,69,hoopshype_edition,F,espn_opening_boxscore,opening_night
Charlotte Hornets,2016-17,2017,36,46,0.4390244,Kemba Walker,85,hoopshype_edition,PG,espn_opening_boxscore,Michael Kidd-Gilchrist,79,hoopshype_edition,F,espn_opening_boxscore,Nicolas Batum,79,hoopshype_edition,F,espn_opening_boxscore,Marvin Williams,78,hoopshype_edition,F,espn_opening_boxscore,Cody Zeller,76,hoopshype_edition,C,espn_opening_boxscore,Jeremy Lamb,74,hoopshype_edition,SG,espn_opening_boxscore,Ramon Sessions,74,hoopshype_edition,G,espn_opening_boxscore,Roy Hibbert,74,hoopshype_edition,C,espn_opening_boxscore,Marco Belinelli,72,hoopshype_edition,G,espn_opening_boxscore,Spencer Hawes,72,hoopshype_edition,PF,espn_opening_boxscore,opening_night
Chicago Bulls,2016-17,2017,41,41,0.5,Jimmy Butler,88,hoopshype_edition,F,espn_opening_boxscore,Dwyane Wade,87,hoopshype_edition,G,espn_opening_boxscore,Rajon Rondo,81,hoopshype_edition,PG,espn_opening_boxscore,Robin Lopez,77,hoopshype_edition,C,espn_opening_boxscore,Nikola Mirotic,76,hoopshype_edition,F,espn_opening_boxscore,Taj Gibson,76,hoopshype_edition,F,espn_opening_boxscore,Michael Carter-Williams,75,hoopshype_edition,G,espn_opening_boxscore,Bobby Portis,74,hoopshype_edition,F,espn_opening_boxscore,Doug McDermott,74,hoopshype_edition,F,espn_opening_boxscore,Denzel Valentine,72,hoopshype_edition,G,espn_opening_boxscore,opening_night
Cleveland Cavaliers,2016-17,2017,51,31,0.6219512,LeBron James,96,hoopshype_edition,F,espn_opening_boxscore,Kyrie Irving,89,hoopshype_edition,G,espn_opening_boxscore,Kevin Love,82,hoopshype_edition,F,espn_opening_boxscore,Tristan Thompson,81,hoopshype_edition,C,espn_opening_boxscore,Channing Frye,74,hoopshype_edition,F,espn_opening_boxscore,Iman Shumpert,74,hoopshype_edition,G,espn_opening_boxscore,Richard Jefferson,74,hoopshype_edition,F,espn_opening_boxscore,Chris Andersen,73,hoopshype_edition,PF,espn_opening_boxscore,Mike Dunleavy,73,hoopshype_edition,SG,espn_opening_boxscore,Jordan McRae,70,hoopshype_edition,G,espn_opening_boxscore,opening_night
Dallas Mavericks,2016-17,2017,33,49,0.40243903,Dirk Nowitzki,84,hoopshype_edition,F,espn_opening_boxscore,Harrison Barnes,79,hoopshype_edition,F,espn_opening_boxscore,Wesley Matthews,78,hoopshype_edition,SG,espn_opening_boxscore,Andrew Bogut,77,hoopshype_edition,C,espn_opening_boxscore,Deron Williams,76,hoopshype_edition,PG,espn_opening_boxscore,Dwight Powell,74,hoopshype_edition,F,espn_opening_boxscore,Salah Mejri,73,hoopshype_edition,C,espn_opening_boxscore,Justin Anderson,72,hoopshype_edition,F,espn_opening_boxscore,Quincy Acy,72,hoopshype_edition,F,espn_opening_boxscore,Seth Curry,72,hoopshype_edition,G,espn_opening_boxscore,opening_night
Denver Nuggets,2016-17,2017,40,42,0.4878049,Danilo Gallinari,80,hoopshype_edition,PF,espn_opening_boxscore,Kenneth Faried,80,hoopshype_edition,F,espn_opening_boxscore,Nikola Jokic,79,hoopshype_edition,C,espn_opening_boxscore,Will Barton,78,hoopshype_edition,G,espn_opening_boxscore,Emmanuel Mudiay,76,hoopshype_edition,G,espn_opening_boxscore,Wilson Chandler,76,hoopshype_edition,F,espn_opening_boxscore,Jamal Murray,75,hoopshype_edition,G,espn_opening_boxscore,Jusuf Nurkic,75,hoopshype_edition,C,espn_opening_boxscore,Jameer Nelson,72,hoopshype_edition,G,espn_opening_boxscore,Mike Miller,70,hoopshype_edition,SG,espn_opening_boxscore,opening_night
Detroit Pistons,2016-17,2017,37,45,0.4512195,Andre Drummond,87,hoopshype_edition,C,espn_opening_boxscore,Kentavious Caldwell-Pope,79,hoopshype_edition,G,espn_opening_boxscore,Tobias Harris,78,hoopshype_edition,F,espn_opening_boxscore,Marcus Morris Sr.,76,hoopshype_edition,F,espn_opening_boxscore,Aron Baynes,75,hoopshype_edition,C,espn_opening_boxscore,Boban Marjanovic,75,hoopshype_edition,C,espn_opening_boxscore,Jon Leuer,75,hoopshype_edition,F,espn_opening_boxscore,Stanley Johnson,75,hoopshype_edition,SF,espn_opening_boxscore,Beno Udrih,72,hoopshype_edition,PG,espn_opening_boxscore,Henry Ellenson,70,hoopshype_edition,PF,espn_opening_boxscore,opening_night
Golden State Warriors,2016-17,2017,67,15,0.81707317,Stephen Curry,94,hoopshype_edition,G,espn_opening_boxscore,Kevin Durant,93,hoopshype_edition,F,espn_opening_boxscore,Draymond Green,90,hoopshype_edition,F,espn_opening_boxscore,Klay Thompson,90,hoopshype_edition,G,espn_opening_boxscore,Andre Iguodala,81,hoopshype_edition,F,espn_opening_boxscore,Shaun Livingston,76,hoopshype_edition,G,espn_opening_boxscore,Zaza Pachulia,76,hoopshype_edition,C,espn_opening_boxscore,David West,75,hoopshype_edition,F,espn_opening_boxscore,Anderson Varejao,73,hoopshype_edition,C,espn_opening_boxscore,JaVale McGee,72,hoopshype_edition,C,espn_opening_boxscore,opening_night
