season,season_end_year,team,win_total_line,actual_wins_odds_source,actual_losses_odds_source,source_result,championship_odds,source_url
2016-17,2017,Atlanta Hawks,43.5,43,39,under,+10000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Boston Celtics,52.5,53,29,over,+2900,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Brooklyn Nets,21.5,20,62,under,+135000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Charlotte Hornets,42.5,36,46,under,+55000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Chicago Bulls,39.0,41,41,over,+9000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Cleveland Cavaliers,56.5,51,31,under,+385,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Dallas Mavericks,39.5,33,49,under,+39000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Denver Nuggets,37.0,40,42,over,+50000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Detroit Pistons,44.5,37,45,under,+14000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Golden State Warriors,66.5,67,15,over,-128,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Houston Rockets,44.0,55,27,over,+16000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Indiana Pacers,44.5,42,40,under,+8000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Los Angeles Clippers,53.5,51,31,under,+3500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Los Angeles Lakers,24.5,26,56,over,+39000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Memphis Grizzlies,42.5,43,39,over,+8800,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Miami Heat,34.5,41,41,over,+17500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Milwaukee Bucks,34.5,42,40,over,+18000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Minnesota Timberwolves,41.5,31,51,under,+10000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,New Orleans Pelicans,36.5,34,48,under,+14500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,New York Knicks,38.5,31,51,under,+7500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Oklahoma City Thunder,45.0,47,35,over,+6000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Orlando Magic,37.5,29,53,under,+22500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Philadelphia 76ers,23.5,28,54,over,+50000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Phoenix Suns,29.5,24,58,under,+85000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Portland Trail Blazers,45.5,41,41,under,+13000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Sacramento Kings,33.5,32,50,under,+50000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,San Antonio Spurs,57.5,61,21,over,+925,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Toronto Raptors,50.5,51,31,over,+5500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Utah Jazz,47.5,51,31,over,+10000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2016-17,2017,Washington Wizards,42.5,49,33,over,+16000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html
2017-18,2018,Atlanta Hawks,25.5,24,58,under,+200000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Boston Celtics,53.5,55,27,over,+1200,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Brooklyn Nets,27.5,28,54,over,+250000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Charlotte Hornets,42.5,36,46,under,+50000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Chicago Bulls,22.0,27,55,over,+250000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Cleveland Cavaliers,53.5,50,32,under,+515,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Dallas Mavericks,35.5,24,58,under,+50000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Denver Nuggets,45.5,46,36,over,+20000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Detroit Pistons,38.5,39,43,over,+63000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Golden State Warriors,67.5,58,24,under,-187,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Houston Rockets,55.5,65,17,over,+2150,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Indiana Pacers,31.5,48,34,over,+125000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Los Angeles Clippers,43.5,42,40,under,+19000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Los Angeles Lakers,33.5,35,47,over,+30000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Memphis Grizzlies,37.5,22,60,under,+37000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Miami Heat,43.5,44,38,over,+24000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Milwaukee Bucks,47.5,44,38,under,+8000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Minnesota Timberwolves,48.5,47,35,under,+5000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,New Orleans Pelicans,39.5,48,34,over,+22000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,New York Knicks,30.5,29,53,under,+100000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Oklahoma City Thunder,53.5,48,34,under,+2150,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Orlando Magic,33.5,25,57,under,+250000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Philadelphia 76ers,39.5,52,30,over,+19000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
2017-18,2018,Phoenix Suns,28.5,21,61,under,+125000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html
